"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"J1","1","USB_B","","","","","~"
"J2","1","USB_A","","","","","~"
"J3","1","Conn_01x03","","","","","~"
"J4","1","Conn_01x02","","","","","~"
"Y1","1","Crystal","","","","","~"
"C1,C6,C11,C12,C13,C14,C16,C17,C18,C19,C20,C21,C22,C24","14","0,1uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C2","1","1nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C3,C4","2","18pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C5,C7,C9,C10","4","1uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C8","1","`0,1uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C15,C23","2","4,7uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"J5,J6,J7","3","RJ45","","","","Connector_RJ:RJ45_OST_PJ012-8P8CX_Vertical","~"
"U5","1","CP2102N-Axx-xQFN28","","","","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U3","1","USB2514B_Bi","","","","Package_DFN_QFN:QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm","http://ww1.microchip.com/downloads/en/DeviceDoc/00001692C.pdf"
"U2","1","AT24CS02-SSHM","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8815-SEEPROM-AT24CS01-02-Datasheet.pdf"
"U6","1","MAX3485","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf"
"U1,U4","2","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"R1,R2,R4","3","100k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R3","1","1M","","","","Resistor_SMD:R_0201_0603Metric","~"
"R5,R6,R7,R8,R9,R10,R12","7","10k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R11","1","120","","","","Resistor_SMD:R_0201_0603Metric","~"
